gene-cCRE pairs	PCC	p-value	FDR
Tbc1d10b|cCREs222870	0.567553624132129	0.00143684459191784	0.017439051198107
Tbc1d17|cCREs215125	0.502361626464974	0.00412250451706198	0.0315945781298268
Tbc1d23|cCREs101992	0.829360456840141	7.04002429541273e-06	0.00223951500002241
Tbc1d23|cCREs102001	0.797246363613917	1.48612703372297e-05	0.00285205025328157
Tbc1d31|cCREs90078	0.481532238341239	0.00564594786513284	0.0377379525256274
Tbc1d31|cCREs90138	0.645933634078726	0.00035125829881677	0.00829144481778277
Tbc1d4|cCREs82872	0.744170595648214	4.81894955550732e-05	0.00378549290310675
Tbc1d8|cCREs3340	0.476128507238004	0.00611515906943505	0.039611750457006
Tbc1d9|cCREs232573	0.502828991571034	0.00409301336240253	0.0314509812760012
Tbr1|cCREs136944	0.764428155636223	3.10228691366987e-05	0.00321248146145154
Tbr1|cCREs136946	0.659736260712571	0.000269703377936303	0.0072429335504632
Tbrg4|cCREs35220	0.567094121782585	0.00144809767192544	0.0175255107548535
Tbx6|cCREs222752	0.612880848453615	0.00064840319578352	0.0113098208912062
Tbx6|cCREs222804	0.585314712674639	0.00105848365317895	0.0147955354546842
Tcerg1l|cCREs224025	0.537302438287744	0.0023743977717362	0.0231359322702858
Tcerg1l|cCREs224042	0.663880162633712	0.000248901235318066	0.00700835332327924
Tcerg1l|cCREs224048	0.677824700767861	0.000189376268385333	0.00622046312021953
Tcerg1l|cCREs224049	0.763591493891211	3.15989460305532e-05	0.00321248146145154
Tcerg1l|cCREs224059	0.4806512057061	0.00572019726063555	0.0379785697909183
Tcf12|cCREs245769	0.653691719960364	0.000302965718211201	0.00772409125575504
Tcf3|cCREs28844	0.480186079308348	0.00575974449660999	0.0381129656179209
Tctn3|cCREs128170	0.508246492044104	0.00376468888201698	0.0299875768053473
Tecpr1|cCREs196416	0.507732654491201	0.00379478329335281	0.0301319248553169
Tef|cCREs93282	0.551317821256418	0.001886798177128	0.0203301061079291
Tef|cCREs93324	0.527555606991673	0.00277792709266167	0.0252478460488842
Tesk1|cCREs169653	0.515695589424053	0.00335181538556895	0.0280545836368345
Tesk1|cCREs169698	0.708464321394412	0.000102076603997303	0.00476089999326315
Tet2|cCREs163239	0.495440073402485	0.00458207569764635	0.0334218077203359
Tex14|cCREs44324	0.476973801019621	0.006039554470331	0.0393147546879497
Tfcp2|cCREs95726	0.451983091367285	0.00865992420441364	0.0486749124348582
Tgfb3|cCREs57291	0.470502358717462	0.00664008352274714	0.041575056777717
Tgfbr1|cCREs170138	0.59394604416529	0.00090978251589402	0.0137005631670184
Tgfbr1|cCREs170163	0.667059759459782	0.000233964903765815	0.00679037843433669
Tgfbr1|cCREs170178	0.509234114828913	0.00370744614629959	0.0297062213884293
Tgfbr1|cCREs170185	0.519252147621235	0.00316943571404371	0.0271745349523331
Tgif2|cCREs147480	0.453910152418429	0.00842718434649337	0.047861781618671
Thap3|cCREs181199	0.465106134590569	0.00718058352217088	0.0436509109420581
Thbd|cCREs146486	0.59443614732484	0.000901944641900854	0.0136625612694474
Thsd7a|cCREs198056	0.602452262296888	0.000782249128232326	0.0126105973186304
Thsd7a|cCREs198063	0.463641392150421	0.00733383666245902	0.0441911528272285
Thsd7a|cCREs198066	0.725308115285222	7.19326760044714e-05	0.00430998629575267
Thsd7b|cCREs12193	0.485952795547826	0.00528617289222599	0.0364106592187278
Thumpd3|cCREs208830	0.659371044867144	0.000271612366647855	0.00725421058657395
Thyn1|cCREs239959	0.536321445365044	0.00241246466657075	0.0233091718634242
Thyn1|cCREs239961	0.593471279256521	0.00091743473342254	0.0137669912254726
Tial1|cCREs222953	0.477253954268156	0.00601468048835907	0.03923014667287
Tial1|cCREs222971	0.470412866512091	0.00664874557680462	0.0415888700261413
Tial1|cCREs222990	0.503633916118479	0.00404266426906885	0.0312138567252824
Tiam1|cCREs104538	0.532340277173383	0.00257268436948455	0.0241558400893413
Ticam1|cCREs110441	0.709753008595734	9.94050977383143e-05	0.0047452585579772
Ticam1|cCREs110497	0.538996147885995	0.00230995195135963	0.0227512617557413
Timm9|cCREs55250	0.613905190590927	0.000636466280456438	0.011208890166079
Timmdc1|cCREs100190	0.46635401465421	0.00705225583708924	0.0431337545707677
Timp3|cCREs29554	0.756928824947519	3.65616214582643e-05	0.00333414483102883
Timp4|cCREs209191	0.719285485728444	8.15902410090663e-05	0.00442864820442038
Timp4|cCREs209226	0.523478387985619	0.00296435892427649	0.026226219277284
Tinf2|cCREs78428	0.554486982059684	0.00179001332565976	0.0197297172626577
Tjp2|cCREs126452	0.476590848006372	0.00607370322350886	0.0394835533906109
Tkt|cCREs76283	0.512934438099198	0.00349985334848979	0.0287981861001143
Tle1|cCREs172714	0.647223351449891	0.00034276342484707	0.0081970089441595
Tle1|cCREs172718	0.594677637736119	0.000898105522619042	0.0136200215138993
Tle1|cCREs172719	0.590433030584094	0.000967821778392608	0.0140936064715653
Tle1|cCREs172722	0.504619849376457	0.00398174878594226	0.0309515230307155
Tle1|cCREs172728	0.606821792940439	0.000723339853610838	0.0120596954584184
Tle1|cCREs172744	0.533029585589221	0.0025442730513443	0.0240437331390784
Tle1|cCREs172752	0.472123170305147	0.00648492058880312	0.0410067645416169
Tln1|cCREs169706	0.558009950524802	0.00168774028431629	0.019051422846305
Tm7sf3|cCREs212698	0.478715132066071	0.00588641310332361	0.0386607206317579
Tm7sf3|cCREs212748	0.533183790049078	0.00253795613491115	0.0240406367910827
Tm9sf4|cCREs147037	0.606574737668423	0.00072655837630986	0.0120904712677432
Tmbim6|cCREs95470	0.45170655494889	0.00869378112265873	0.048797933841633
Tmbim6|cCREs95515	0.458593156223832	0.00788434109109859	0.0460538584223753
